fp	tp	fn	exp.pos	obs.pos	tpr	fdr	fnr	precision	thresh
7	2	0	2	9	1	0.777777777777778	0	0.222222222222222	2
7	2	0	2	9	1	0.777777777777778	0	0.222222222222222	3
10	2	0	2	12	1	0.833333333333333	0	0.166666666666667	4
12	2	0	2	14	1	0.857142857142857	0	0.142857142857143	5
26	2	0	2	28	1	0.928571428571429	0	0.0714285714285714	6
30	2	0	2	32	1	0.9375	0	0.0625	7
49	2	0	2	51	1	0.96078431372549	0	0.0392156862745098	8
89	2	0	2	91	1	0.978021978021978	0	0.021978021978022	9
89	2	0	2	91	1	0.978021978021978	0	0.021978021978022	10
